ID,Name,Category,Effort,Novelty,Status,Pitch,Why USP
com-1,"Verified ward-level moderators","Community & Trust",Medium,Rare,"Partial — extend","Geo-scoped editor roles with gamified leaderboards; trusted locals approve edits in their pin code.","OSM-style distributed trust, but with structured authority maps lack."
com-2,"Full place provenance trail","Community & Trust",Small,Rare,"Partial — extend","Public audit log per place: who added, who edited what when, with diff viewer.","Wikipedia-grade trust + accountability — competitors hide this."
com-3,"EXIF-verified photos","Community & Trust",Small,Rare,"Not started","Auto-reject photos taken >500m from the pin or older than a date threshold.","Solves the 'stale photo' problem ratings sites suffer from."
com-4,"Contribution streaks & badges","Community & Trust",Small,Differentiated,"Partial — extend","Daily streaks, lifetime contribution count, rare-place badges, public Wikipedia-style editor profiles.","Compounds engagement and crowdsources moderation."
com-5,"Bounty system","Community & Trust",Medium,Breakthrough,"Not started","Power users post bounties: 'map 20 ATMs in village X', winners get redeemable points / Pro time.","Solves the cold-start problem for unmapped regions; novel mechanic in maps."
com-6,"Place-anchored Q&A threads","Community & Trust",Medium,Rare,"Not started","Ask a question pinned to a specific place ('open early on Sundays?') — local mods answer.","Replaces the awful 'Ask the community' feature on competitors."
prv-1,"End-to-end encrypted private places","Privacy & Sovereignty",Large,Breakthrough,"Not started","Toggle on a pin to store it as ciphertext — even you (the operator) can't read it.","Real differentiator vs Google. Major appeal to journalists, activists, women-safety use cases."
prv-2,"One-line self-hostable deploy","Privacy & Sovereignty",Small,Rare,"Not started","docker-compose up ships the full stack including tile server. Pitch as 'your map, your data'.","Massive open-source community signal; powers enterprise / govt deals."
prv-3,"Pseudonymous mode","Privacy & Sovereignty",Small,Rare,"Not started","Sign up with just a passphrase — no email, no phone. Recovery via printable backup sheet.","Removes the biggest barrier in privacy-sensitive markets."
prv-4,"Verifiable no-tracking telemetry","Privacy & Sovereignty",Medium,Breakthrough,"Not started","Publish an open telemetry config + third-party audit; show a 'no location ever leaves your device' badge.","Branding move that compounds — every leak from competitors becomes your marketing."
prv-5,"Export everything + right-to-erase","Privacy & Sovereignty",Small,Differentiated,"Not started","One-tap GeoJSON / KML / CSV / PDF dump; one-tap account+data wipe.","GDPR-grade trust at zero cost to you; competitive moat in EU."
col-1,"Live cursors on shared maps",Collaboration,Medium,Rare,"Partial — extend","See teammates' cursors and selections in real time, like Figma — using your existing socket.io.","Map equivalent of multiplayer Figma; zero direct competition."
col-2,"Map rooms (Docs for maps)",Collaboration,Large,Breakthrough,"Partial — extend","Persistent shared map workspace with chat sidebar, presence, comments, and version history.","Strong moat; closest competitor (Felt) is Western-only and paid-only."
col-3,"Public, embeddable collections",Collaboration,Medium,Differentiated,"Not started","Publish 'My favourite cafes in Mangaluru' — followable, shareable, embeddable as iframe.","Drives organic growth + creator economy."
col-4,"Co-edited group itineraries",Collaboration,Medium,Rare,"Not started","Plan a trip with friends — vote on stops, comment on pins, vote-based reordering.","Travel-planning whitespace; competitors are static & ugly."
col-5,"Map snapshots / permalinks",Collaboration,Small,Differentiated,"Not started","Freeze any map view + overlay state into a shareable URL that always renders identically.","Underused growth loop — every share is a marketing surface."
off-1,"Per-region offline vector tiles","Offline & Resilience",Medium,Differentiated,"Not started","Long-press a region → download for offline. Vector tiles keep size tiny.","Critical for trekkers, rural users, travellers."
off-2,"Offline turn-by-turn routing","Offline & Resilience",Large,Rare,"Not started","Bundled OSRM/Valhalla; works with zero signal.","Google Maps offline routing is degraded; this is a genuine product win."
off-3,"SMS share fallback","Offline & Resilience",Small,Breakthrough,"Not started","Share place / live location via SMS deep link — works on 2G feature phones.","Unlocks the half of India that still uses feature phones to receive shares."
off-4,"Bluetooth/LAN mesh place sync","Offline & Resilience",Large,Breakthrough,"Not started","In areas with no internet, sync places peer-to-peer with nearby users.","Useful for survey teams, disaster relief, remote villages — virtually unique."
veh-1,"Find My Family / Truck","Vehicle & Fleet",Medium,Rare,"Partial — extend","Free multi-device live tracker with privacy windows and battery-aware update intervals.","Direct extension of your existing vehicle tracking. Replaces paid fleet apps for small operators."
veh-2,"Geofence rules engine","Vehicle & Fleet",Medium,Rare,"Not started","Alert when a vehicle enters/leaves a zone; auto-start sharing only during a trip; auto-stop on arrival.","Parents, logistics, courier teams. Higher-margin Pro tier hook."
veh-3,"Driver score from phone sensors","Vehicle & Fleet",Medium,Rare,"Not started","Score speed, harsh braking, fuel economy via the existing socket location stream.","Selling point for insurance partnerships."
veh-4,"Auto trip diary + tax reports","Vehicle & Fleet",Medium,Differentiated,"Not started","Detects trip start/stop automatically, labels home/work, exports CRA/FBT/IRS-friendly mileage logs.","Replaces apps like MileIQ for free."
veh-5,"Expiring live-trip share link","Vehicle & Fleet",Small,Differentiated,"Not started","Share a one-time link with ETA — auto-expires on arrival, no app install needed for receiver.","Beats WhatsApp's 'share live location' UX."
a11y-1,"Wheelchair accessibility crowd-tags",Accessibility,Small,Rare,"Not started","Per-place flags for ramp, lift, accessible toilet, parking; community-verifiable.","Google's AXS Map is half-abandoned; massive under-served audience."
a11y-2,"Audio-first map mode",Accessibility,Large,Breakthrough,"Not started","Screen-reader-optimised place exploration with spatial-audio cues for nearby items.","Genuine breakthrough — no major map ships this."
a11y-3,"Senior mode",Accessibility,Small,Rare,"Not started","Larger fonts, simplified UI, voice everything, fewer steps to navigation.","Capture the rising silver demographic; great word-of-mouth driver."
a11y-4,"Low-bandwidth text-first mode",Accessibility,Small,Rare,"Not started","Text-only place results on 2G; defer map tiles until tapped.","Performance moat in emerging markets."
cre-1,"Embeddable map widgets","Creator / Publisher",Medium,Differentiated,"Not started","<script>-tag-embeddable interactive map for any blog / Notion / WordPress / Wix.","Every embed is a backlink. Drives SEO and brand recognition."
cre-2,"SEO-indexable place pages","Creator / Publisher",Small,Differentiated,"Not started","Every public place gets a fast static page (place.umnaapp.com/...) with schema.org markup.","Free, compounding organic traffic."
cre-3,"@handle creator profiles","Creator / Publisher",Small,Differentiated,"Not started","umnaapp.com/@you — public collections, contribution stats, follower count.","Brings social-network growth dynamics to a map app."
cre-4,"Auto QR codes per place","Creator / Publisher",Small,Differentiated,"Not started","Generate scannable QR for posters/menus that opens the live place page.","Tiny effort, huge for restaurant/event marketing."
cre-5,"Email/RSS digests","Creator / Publisher",Medium,Rare,"Not started","Subscribe to 'new restaurants near me' or 'new temples in Kadaba' — weekly digest.","Retention loop competitors don't bother with."
dev-1,"Open REST + JS/Python SDK","Developer / Open-source",Medium,Differentiated,"Partial — extend","Public, rate-limited, well-documented API + SDKs. Free tier sufficient for hobbyists.","Wins developer mindshare. Google Maps API is hated for pricing."
dev-2,Webhooks,"Developer / Open-source",Small,Rare,"Not started","Fire when a new place enters my polygon, or a place I follow gets edited.","Enables third-party integrations and Zapier-style workflows."
dev-3,"Plugin / extension system","Developer / Open-source",Large,Rare,"Not started","Side-panel plugins (VS Code style) — third parties can ship 'Property Prices', 'Crime Stats', 'Bus Times'.","Long-term moat through ecosystem effects."
dev-4,"Opt-in OSM sync","Developer / Open-source",Medium,Breakthrough,"Not started","Push verified place additions back to OpenStreetMap with attribution preserved.","Aligns with the open-source ethos; strong PR & community goodwill."
dev-5,"MCP server for AI agents","Developer / Open-source",Small,Breakthrough,"Not started","Expose UMNAAPP as an MCP endpoint — Claude / Cursor / ChatGPT can read & write your map.","Future-defining positioning; almost no maps service does this yet."
saf-1,"SOS broadcast","Safety & Emergency",Medium,Rare,"Not started","Long-press → live-share location to 3 emergency contacts for N minutes with a recurring SMS ping.","Direct Apple/Samsung-feature parity, but cross-platform & free."
saf-2,"Safe-route preference","Safety & Emergency",Medium,Rare,"Not started","Routing prefers well-lit, busy, women-safe roads (community-rated). Avoid-zone overlay.","Hot-button feature with strong word-of-mouth potential."
saf-3,"Live disaster overlay","Safety & Emergency",Medium,Breakthrough,"Not started","Crowdsourced flooded roads, blocked routes, shelter locations during storms / floods; auto-expires.","Becomes essential infrastructure during disasters; massive earned media."
saf-4,"Nearest 24x7 medical finder","Safety & Emergency",Small,Rare,"Not started","One-tap: nearest open pharmacy, ER, blood bank, ambulance dispatcher.","Concrete life-saving feature with simple data model."
eng-1,"Personal exploration heatmap",Gamification,Small,Differentiated,"Not started","Pokemon-Go-style 'territory you've been to' rendered on your account.","Highly shareable; powerful retention hook."
eng-2,"Streaks & day-counter",Gamification,Small,Differentiated,"Not started","Add-a-place streaks, visit-a-new-place streaks, view-a-route streaks.","Duolingo-style retention compounding."
eng-3,"Community challenges",Gamification,Medium,Differentiated,"Not started","'Map 10 ATMs in your panchayat this week' — leaderboard + small rewards.","Drives the bounty system + onboarding loop."
eng-4,"Collectible rare-place badges",Gamification,Small,Rare,"Not started","Mountain peaks, ancient temples, historic sites — collect like Pokémon cards.","Strong engagement for niches (trekkers, history buffs)."
nic-1,"Cycling layer","Niche Verticals",Medium,Rare,"Not started","Bike-friendly routes, elevation profile, water stops, bike-shop network.","Komoot quality at zero cost — niche but obsessive userbase."
nic-2,"Trekking mode","Niche Verticals",Medium,Rare,"Not started","GPX import/export, topo lines, group live-sync on remote trails (works with mesh-sync).","Strong adjacency to outdoor + safety features."
nic-3,"Pilgrimage multi-day mode","Niche Verticals",Medium,Breakthrough,"Not started","Itinerary with accommodation, prasada timings, queue forecasts, dress code reminders per temple.","Massive market, almost entirely unserved by polished software."
nic-4,"Real-estate explorer overlay","Niche Verticals",Large,Breakthrough,"Not started","Overlay land prices, school zones, water table, flood history — crowd-edited.","Adjacent monetisation; competitors charge a fortune."
nic-5,"Education map","Niche Verticals",Medium,Rare,"Not started","Colleges, hostels, tuition centres, library hours, admissions calendars.","High-intent traffic during admission seasons."
nic-6,"Wedding & event venue mode","Niche Verticals",Medium,Rare,"Not started","Capacity, parking, catering tie-ups, price band, real photos crowd-sourced.","High-value vertical; SMBs will pay to be listed."
mon-1,"No-ads-forever pledge",Monetization,Small,Differentiated,"Not started","Public commitment + technical enforcement (open client). Pro tier funds the app.","Strong brand positioning vs ad-laden competitors."
mon-2,"Pay-once lifetime Pro",Monetization,Small,Rare,"Not started","Single-payment lifetime license tier alongside the monthly subscription.","Differentiated against subscription-fatigued users; great launch marketing."
mon-3,"Claim-your-place SMB dashboard",Monetization,Medium,Differentiated,"Not started","Small businesses claim their pin → analytics, photo management, response to Q&A, weekly visit reports.","Recurring B2B revenue from a base you already have."
